,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
745,Neco Williams,DEF,Nott'm Forest,3.0,0,0,6,0,13.3,437,0.03,0.03,0.0,1.07,357,2,0,3.2,14.4,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,494802,1,2,2,4.0,1,73658,79864,6206,45,True,0
746,Roméo Lavia,MID,Chelsea,1.5,0,0,12,0,6.3,174,0.04,0.04,0.0,1.55,356,1,0,1.0,3.6,2025-05-11T11:00:00Z,74,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,45404,1,0,2,0.0,2,696,873,177,45,False,0
747,Leon Bailey,MID,Aston Villa,0.0,0,0,0,0,0.0,28,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,85542,0,1,0,0.0,0,507,1060,553,62,False,0
748,Niclas Füllkrug,FWD,West Ham,2.2,0,0,-1,0,0.1,589,0.0,0.0,0.0,1.55,355,0,0,0.0,0.2,2025-05-11T13:15:00Z,17,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,93044,0,2,0,0.0,1,-1712,567,2279,67,False,0
749,Harvey Barnes,MID,Newcastle,5.5,0,0,6,1,29.7,392,0.14,0.51,0.37,0.69,356,0,0,9.0,12.2,2025-05-11T11:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,36,0,586506,1,0,2,48.0,3,-77834,26623,104457,60,True,0
750,Brennan Johnson,MID,Spurs,0.8,0,0,0,0,0.0,491,0.0,0.0,0.0,0.0,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,283635,0,2,0,0.0,0,-9436,9265,18701,62,True,0
751,Andrew Moran,MID,Brighton,0.0,0,0,0,0,0.0,601,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,280,0,2,0,0.0,0,-1,0,1,50,False,0
752,Harry Maguire,DEF,Man Utd,0.8,0,0,3,0,10.7,377,0.01,0.37,0.36,0.64,355,1,0,5.0,11.2,2025-05-11T13:15:00Z,38,0,0,0,0,0,0,0,False,19,0,0,0,0,36,0,90419,0,2,0,28.0,1,5612,7818,2206,49,True,0
753,Mark Travers,GK,Bournemouth,0.0,0,0,0,0,0.0,84,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,12755,0,1,0,0.0,0,-103,0,103,44,True,0
754,Will Smallbone,MID,Southampton,-0.5,0,0,3,0,0.0,471,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,1,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,2588,0,0,0,0.0,1,4,45,41,50,True,0
755,Mykhailo Mudryk,MID,Chelsea,0.0,0,0,0,0,0.0,179,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,20617,0,0,2,0.0,0,2,69,67,61,False,0
756,Imari Samuels,DEF,Brighton,0.0,0,0,0,0,0.0,663,0.0,0.0,0.0,0.0,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,3233,0,2,0,0.0,0,-18,0,18,40,False,0
757,Hamed Traorè,MID,Bournemouth,0.0,0,0,0,0,0.0,67,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,5050,0,1,0,0.0,0,-11,0,11,45,True,0
