,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
558,Timo Werner,MID,Spurs,3.2,0,0,9,0,35.7,509,0.21,0.21,0.0,1.81,149,3,0,4.9,9.2,2024-12-08T16:30:00Z,37,False,6,0,0,0,0,15,0,18990,0,4,3,4.0,1,-592,428,1020,62,True,0
559,Tyrone Mings,DEF,Aston Villa,1.0,0,0,0,0,0.0,49,0.0,0.0,0.0,0.0,141,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,False,17,0,0,0,0,15,0,11181,0,0,1,0.0,0,1886,2350,464,44,True,0
560,Ethan Wheatley,FWD,Man Utd,0.0,0,0,0,0,0.0,648,0.0,0.0,0.0,0.0,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,16,0,0,0,0,15,0,203982,0,3,2,0.0,0,-5294,7687,12981,45,True,0
561,Matz Sels,GK,Nott'm Forest,3.0,0,0,12,0,0.0,443,0.0,0.0,0.0,1.6,148,2,0,4.0,39.6,2024-12-07T17:30:00Z,90,False,14,0,0,0,0,15,5,813873,1,3,2,0.0,2,-5755,26008,31763,47,False,0
562,Ryan Yates,MID,Nott'm Forest,1.8,0,0,7,0,12.6,449,0.05,0.05,0.0,1.6,148,2,0,1.9,4.0,2024-12-07T17:30:00Z,90,False,14,0,0,0,0,15,0,26928,1,3,2,2.0,2,-2914,370,3284,49,False,0
563,Amad Diallo,MID,Man Utd,6.2,1,0,21,0,24.7,364,0.07,0.41,0.34,0.83,148,3,0,9.2,26.0,2024-12-07T17:30:00Z,90,False,16,0,0,0,0,15,0,740213,1,3,2,41.0,5,150959,168188,17229,50,True,0
564,Josh Nichols,DEF,Arsenal,1.0,0,0,0,0,0.0,662,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,3654,0,1,1,0.0,0,-40,153,193,40,False,0
565,Sam Szmodics,MID,Ipswich,1.5,0,0,10,1,9.1,611,0.25,0.5,0.25,1.86,146,0,0,7.4,18.6,2024-12-08T14:00:00Z,79,False,3,0,0,0,0,15,0,42174,1,2,1,46.0,2,-6370,1381,7751,58,True,1
566,Malo Gusto,DEF,Chelsea,1.8,0,0,7,0,2.1,171,0.01,0.04,0.03,1.43,149,1,0,1.9,7.8,2024-12-08T16:30:00Z,45,False,18,0,0,0,0,15,0,182194,0,4,3,9.0,1,4986,12018,7032,49,False,0
567,Nathan Butler-Oyedeji,FWD,Arsenal,1.0,0,0,0,0,0.0,665,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,False,9,0,0,0,0,15,0,23039,0,1,1,0.0,0,-459,1779,2238,45,False,0
